"CONTIG","MB.VERYSENSTIVE","MB.SENSITIVE","MB.SUPERSPECIFIC","CORRELATION_ABUNDANCIES","KMEANS_ABUNDANCIES_90"
"A_C_D_contig_1034",0,0,0,4,29
"A_C_D_contig_10340",0,0,0,8,16
"A_C_D_contig_10341",0,0,0,8,36
"A_C_D_contig_10342",47,46,53,5,46
"A_C_D_contig_10343",79,83,97,6,90
"A_C_D_contig_10344",79,83,97,5,42
"A_C_D_contig_10345",0,0,0,3,32
"A_C_D_contig_10346",25,26,33,3,50
"A_C_D_contig_10347",0,0,0,2,59
"A_C_D_contig_10348",0,0,0,6,40
"A_C_D_contig_10349",0,0,0,6,40
"A_C_D_contig_1035",15,17,20,3,85
"A_C_D_contig_10350",0,0,0,3,22
"A_C_D_contig_10351",47,46,53,6,61
"A_C_D_contig_10352",0,0,0,8,22
"A_C_D_contig_10353",37,36,44,5,1
"A_C_D_contig_10354",0,0,0,4,51
"A_C_D_contig_10355",0,0,0,5,8
"A_C_D_contig_10356",39,38,46,5,86
"A_C_D_contig_10357",52,49,77,6,61
"A_C_D_contig_10358",52,49,50,6,71
"A_C_D_contig_10359",97,96,110,3,5
"A_C_D_contig_1036",19,19,22,3,85
"A_C_D_contig_10360",0,0,0,2,82
"A_C_D_contig_10361",22,20,27,3,76
"A_C_D_contig_10362",0,0,0,1,18
"A_C_D_contig_10363",0,0,0,6,90
"A_C_D_contig_10364",50,0,0,8,36
"A_C_D_contig_10365",47,46,53,5,46
"A_C_D_contig_10366",0,0,0,8,53
"A_C_D_contig_10367",0,0,0,4,55
"A_C_D_contig_10368",79,83,97,5,42
"A_C_D_contig_10369",0,0,0,6,90
"A_C_D_contig_1037",6,6,8,6,75
"A_C_D_contig_10370",0,0,0,2,58
"A_C_D_contig_10371",44,54,58,6,86
"A_C_D_contig_10372",0,0,0,6,42
"A_C_D_contig_10373",79,83,97,5,26
"A_C_D_contig_10374",0,0,0,5,1
"A_C_D_contig_10375",0,0,0,6,86
"A_C_D_contig_10376",0,0,0,3,87
"A_C_D_contig_10377",0,0,0,1,80
"A_C_D_contig_10378",8,10,11,3,23
"A_C_D_contig_10379",0,0,0,2,28
"A_C_D_contig_1038",46,45,42,8,88
"A_C_D_contig_10380",0,0,0,8,25
"A_C_D_contig_10381",0,0,0,2,5
"A_C_D_contig_10382",0,0,0,6,61
"A_C_D_contig_10383",0,0,0,1,38
"A_C_D_contig_10384",31,0,0,2,35
"A_C_D_contig_10385",0,0,0,6,71
"A_C_D_contig_10386",0,0,0,5,63
"A_C_D_contig_10387",80,84,88,3,20
"A_C_D_contig_10388",20,21,28,6,40
"A_C_D_contig_10389",77,43,55,3,58
"A_C_D_contig_1039",9,11,12,2,60
"A_C_D_contig_10390",0,0,0,6,8
"A_C_D_contig_10391",69,69,86,2,31
"A_C_D_contig_10392",0,0,0,6,46
"A_C_D_contig_10393",0,0,0,3,5
"A_C_D_contig_10394",0,0,0,3,50
"A_C_D_contig_10395",0,0,0,5,8
"A_C_D_contig_10396",0,0,0,6,19
"A_C_D_contig_10397",0,0,0,3,33
"A_C_D_contig_10398",0,0,0,6,26
"A_C_D_contig_10399",0,0,0,6,69
"A_C_D_contig_104",6,6,8,6,14
"A_C_D_contig_1040",6,6,8,6,75
"A_C_D_contig_10400",0,0,0,8,7
"A_C_D_contig_10401",79,83,97,6,8
"A_C_D_contig_10402",37,36,44,5,1
"A_C_D_contig_10403",0,0,0,5,11
"A_C_D_contig_10404",90,106,119,3,70
"A_C_D_contig_10405",51,48,62,6,19
"A_C_D_contig_10406",44,54,58,6,86
"A_C_D_contig_10407",40,39,87,2,47
"A_C_D_contig_10408",0,0,0,6,19
"A_C_D_contig_10409",0,0,0,6,90
"A_C_D_contig_1041",77,80,85,1,80
"A_C_D_contig_10410",0,0,0,8,22
"A_C_D_contig_10411",62,55,79,2,31
"A_C_D_contig_10412",26,27,34,2,35
"A_C_D_contig_10413",0,0,0,5,8
"A_C_D_contig_10414",0,0,0,5,63
"A_C_D_contig_10415",93,101,116,5,6
"A_C_D_contig_10416",0,0,0,6,19
"A_C_D_contig_10417",0,0,0,3,58
"A_C_D_contig_10418",0,0,0,6,71
"A_C_D_contig_10419",44,54,58,6,86
"A_C_D_contig_1042",0,0,0,1,55
"A_C_D_contig_10420",0,0,0,4,39
"A_C_D_contig_10421",50,41,49,8,88
"A_C_D_contig_10422",0,0,0,3,50
"A_C_D_contig_10423",8,10,11,3,23
"A_C_D_contig_10424",0,0,0,6,8
"A_C_D_contig_10425",73,77,90,8,34
"A_C_D_contig_10426",48,43,55,3,58
"A_C_D_contig_10427",0,0,0,3,88
"A_C_D_contig_10428",0,0,0,5,86
"A_C_D_contig_10429",0,0,0,3,81
"A_C_D_contig_1043",1,1,1,1,62
"A_C_D_contig_10430",43,34,54,4,47
"A_C_D_contig_10431",77,80,92,1,80
"A_C_D_contig_10432",44,37,47,6,46
"A_C_D_contig_10433",61,65,76,3,15
"A_C_D_contig_10434",44,37,47,6,46
"A_C_D_contig_10435",0,0,0,2,43
"A_C_D_contig_10436",0,0,0,6,90
"A_C_D_contig_10437",8,10,11,3,23
"A_C_D_contig_10438",69,59,70,4,51
"A_C_D_contig_10439",28,37,47,6,86
"A_C_D_contig_1044",44,54,58,3,24
