"contig","metabat.1","metabat.4"
"contig_10451",0,0
"contig_10452",0,0
"contig_10453",0,0
"contig_10454",27,27
"contig_10455",0,0
"contig_10456",19,19
"contig_10457",11,11
"contig_10458",23,22
"contig_10459",20,20
"contig_1046",0,0
"contig_10460",23,22
"contig_10461",31,32
"contig_10462",0,0
"contig_10463",20,20
"contig_10464",0,0
"contig_10465",0,0
"contig_10466",0,0
"contig_10467",0,0
"contig_10468",0,0
"contig_10469",0,0
"contig_1047",0,0
"contig_10470",0,0
"contig_10471",13,15
"contig_10472",24,23
"contig_10473",0,0
"contig_10474",0,0
"contig_10475",0,0
"contig_10476",0,0
"contig_10477",0,0
"contig_10478",0,0
"contig_10479",0,0
"contig_1048",12,13
"contig_10480",20,20
"contig_10481",16,16
"contig_10482",0,19
"contig_10483",10,9
"contig_10484",24,23
"contig_10485",0,0
"contig_10486",0,0
"contig_10487",0,0
"contig_10488",0,0
"contig_10489",16,16
"contig_1049",0,0
"contig_10490",0,0
"contig_10491",0,0
"contig_10492",0,0
"contig_10493",0,0
"contig_10494",0,0
"contig_10495",0,0
"contig_10496",0,0
"contig_10497",0,0
"contig_10498",19,19
"contig_10499",0,0
"contig_105",2,2
"contig_1050",0,0
"contig_10500",0,0
"contig_10501",20,20
"contig_10502",0,0
"contig_10503",29,29
"contig_10504",31,32
"contig_10505",0,0
"contig_10506",0,0
"contig_10507",0,0
"contig_10508",0,0
"contig_10509",0,0
"contig_1051",0,0
"contig_10510",31,32
"contig_10511",0,0
"contig_10512",24,23
"contig_10513",0,0
"contig_10514",6,7
"contig_10515",23,22
"contig_10516",20,20
"contig_10517",0,0
"contig_10518",0,0
"contig_10519",0,20
"contig_1052",0,0
"contig_10520",0,0
"contig_10521",0,0
"contig_10522",0,0
"contig_10523",0,0
"contig_10524",0,0
"contig_10525",0,0
"contig_10526",23,22
"contig_10527",29,29
"contig_10528",0,0
"contig_10529",0,0
"contig_1053",12,13
"contig_10530",0,0
"contig_10531",0,0
"contig_10532",0,0
"contig_10533",0,0
"contig_10534",33,33
"contig_10535",0,0
"contig_10536",0,0
"contig_10537",0,4
"contig_10538",0,0
"contig_10539",0,0
"contig_1054",3,3
"contig_10540",0,0
"contig_10541",13,15
"contig_10542",0,0
"contig_10543",0,0
"contig_10544",0,0
"contig_10545",0,0
"contig_10546",20,20
"contig_10547",0,0
"contig_10548",0,0
"contig_10549",0,0
"contig_1055",12,13
"contig_10550",0,0
"contig_10551",31,32
"contig_10552",0,0
"contig_10553",0,0
"contig_10554",0,0
"contig_10555",0,0
"contig_10556",0,0
"contig_10557",0,0
"contig_10558",0,0
"contig_10559",0,0
"contig_1056",2,2
"contig_10560",0,0
"contig_10561",0,0
"contig_10562",0,0
"contig_10563",0,0
"contig_10564",0,0
"contig_10565",0,0
"contig_10566",0,0
"contig_10567",0,0
"contig_10568",0,0
"contig_10569",0,0
"contig_1057",12,13
"contig_10570",31,32
"contig_10571",31,32
"contig_10572",0,0
"contig_10573",11,11
"contig_10574",0,0
"contig_10575",0,0
"contig_10576",0,0
"contig_10577",29,29
"contig_10578",0,0
"contig_10579",11,11
"contig_1058",0,0
"contig_10580",0,0
"contig_10581",0,0
"contig_10582",0,0
"contig_10583",0,0
"contig_10584",0,0
"contig_10585",0,0
"contig_10586",0,0
"contig_10587",0,0
"contig_10588",0,0
"contig_10589",0,0
"contig_1059",7,8
"contig_10590",0,0
"contig_10591",0,0
"contig_10592",0,0
"contig_10593",0,0
"contig_10594",13,15
"contig_10595",0,0
"contig_10596",0,0
"contig_10597",33,33
"contig_10598",0,0
"contig_10599",0,0
"contig_106",7,8
"contig_1060",23,22
"contig_10600",0,0
"contig_10601",0,0
"contig_10602",0,0
"contig_10603",0,0
"contig_10604",21,21
"contig_10605",0,0
"contig_10606",0,0
"contig_10607",0,0
"contig_10608",0,0
"contig_10609",0,0
"contig_1061",0,12
"contig_10610",19,19
"contig_10611",0,0
"contig_10612",0,0
"contig_10613",0,0
"contig_10614",0,0
"contig_10615",29,29
"contig_10616",0,0
"contig_10617",0,0
"contig_10618",0,0
"contig_10619",0,0
"contig_1062",7,8
"contig_10620",0,0
"contig_10621",0,0
"contig_10622",0,0
"contig_10623",0,0
"contig_10624",13,15
"contig_10625",0,0
"contig_10626",0,0
"contig_10627",0,0
"contig_10628",20,20
"contig_10629",0,0
"contig_1063",10,9
"contig_10630",20,20
"contig_10631",0,0
"contig_10632",0,0
"contig_10633",19,19
"contig_10634",0,0
"contig_10635",0,0
"contig_10636",22,22
"contig_10637",0,0
"contig_10638",0,0
"contig_10639",0,0
"contig_1064",0,0
"contig_10640",0,0
"contig_10641",0,0
"contig_10642",0,0
"contig_10643",0,0
"contig_10644",4,4
"contig_10645",0,0
"contig_10646",20,20
"contig_10647",0,0
"contig_10648",0,0
"contig_10649",0,0
"contig_1065",0,0
"contig_10650",0,0
"contig_10651",0,0
"contig_10652",0,0
"contig_10653",0,0
"contig_10654",0,0
"contig_10655",0,0
"contig_10656",0,0
"contig_10657",0,0
"contig_10658",0,0
"contig_10659",0,0
"contig_1066",9,10
"contig_10660",0,0
"contig_10661",33,33
"contig_10662",11,11
"contig_10663",0,0
"contig_10664",0,0
"contig_10665",0,0
"contig_10666",0,0
"contig_10667",0,0
"contig_10668",0,0
"contig_10669",33,33
"contig_1067",0,0
"contig_10670",0,0
"contig_10671",0,0
"contig_10672",24,23
"contig_10673",0,0
"contig_10674",0,0
"contig_10675",0,0
"contig_10676",0,0
"contig_10677",0,0
"contig_10678",0,0
"contig_10679",0,0
"contig_1068",0,0
"contig_10680",0,0
"contig_10681",13,15
"contig_10682",0,0
"contig_10683",0,0
"contig_10684",0,0
"contig_10685",0,0
"contig_10686",0,0
"contig_10687",0,0
"contig_10688",0,0
"contig_10689",0,0
"contig_1069",0,0
"contig_10690",33,33
"contig_10691",20,20
"contig_10692",0,0
"contig_10693",31,32
"contig_10694",31,32
"contig_10695",0,0
"contig_10696",0,0
"contig_10697",0,0
"contig_10698",0,0
"contig_10699",0,0
"contig_107",2,2
"contig_1070",0,0
"contig_10700",11,11
"contig_10701",0,0
"contig_10702",0,0
"contig_10703",0,0
"contig_10704",0,0
"contig_10705",0,0
"contig_10706",20,20
"contig_10707",33,33
"contig_10708",0,0
"contig_10709",0,0
"contig_1071",0,0
"contig_10710",19,19
"contig_10711",0,0
"contig_10712",0,0
"contig_10713",0,0
"contig_10714",0,0
"contig_10715",0,0
"contig_10716",0,0
"contig_10717",0,0
"contig_10718",0,0
"contig_10719",0,0
"contig_1072",0,0
"contig_10720",0,0
"contig_10721",0,0
"contig_10722",0,0
"contig_10723",22,22
"contig_10724",0,0
"contig_10725",0,0
"contig_10726",0,0
"contig_10727",23,22
"contig_10728",20,20
"contig_10729",0,0
"contig_1073",0,0
"contig_10730",32,0
"contig_10731",0,0
"contig_10732",0,0
"contig_10733",0,0
"contig_10734",0,0
"contig_10735",0,0
"contig_10736",0,0
"contig_10737",0,0
"contig_10738",33,33
"contig_10739",0,0
"contig_1074",0,0
"contig_10740",31,32
"contig_10741",0,0
"contig_10742",0,0
"contig_10743",23,22
"contig_10744",0,0
"contig_10745",0,0
"contig_10746",10,9
"contig_10747",0,0
"contig_10748",0,0
"contig_10749",0,0
"contig_1075",7,8
"contig_10750",0,0
"contig_10751",0,0
"contig_10752",0,0
"contig_10753",0,0
"contig_10754",0,0
"contig_10755",23,22
"contig_10756",0,0
"contig_10757",0,0
"contig_10758",0,0
"contig_10759",33,33
"contig_1076",12,13
"contig_10760",0,0
"contig_10761",0,0
"contig_10762",0,0
"contig_10763",20,20
"contig_10764",32,0
"contig_10765",10,9
"contig_10766",0,0
"contig_10767",0,0
"contig_10768",0,0
"contig_10769",0,0
"contig_1077",9,10
"contig_10770",0,0
"contig_10771",0,0
"contig_10772",13,15
"contig_10773",0,0
"contig_10774",0,0
"contig_10775",0,0
"contig_10776",0,0
"contig_10777",20,20
"contig_10778",0,0
"contig_10779",33,33
"contig_1078",13,15
"contig_10780",0,0
"contig_10781",23,22
"contig_10782",0,0
"contig_10783",0,0
"contig_10784",0,0
"contig_10785",0,0
"contig_10786",31,32
"contig_10787",0,0
"contig_10788",0,0
"contig_10789",0,0
"contig_1079",0,0
"contig_10790",0,0
"contig_10791",0,0
"contig_10792",0,0
"contig_10793",0,0
"contig_10794",0,0
"contig_10795",0,0
"contig_10796",27,27
"contig_10797",0,0
"contig_10798",0,0
"contig_10799",23,22
"contig_108",2,2
"contig_1080",0,0
"contig_10800",0,0
"contig_10801",0,0
"contig_10802",0,0
"contig_10803",23,22
"contig_10804",0,0
"contig_10805",0,0
"contig_10806",0,0
"contig_10807",0,0
"contig_10808",0,0
"contig_10809",11,11
"contig_1081",0,5
"contig_10810",0,0
"contig_10811",0,0
"contig_10812",20,20
"contig_10813",0,0
"contig_10814",0,0
"contig_10815",30,31
"contig_10816",0,0
"contig_10817",0,0
"contig_10818",11,11
"contig_10819",0,0
"contig_1082",3,3
"contig_10820",0,0
"contig_10821",0,0
"contig_10822",0,0
"contig_10823",0,0
"contig_10824",23,22
"contig_10825",0,0
"contig_10826",0,0
"contig_10827",0,0
"contig_10828",26,26
"contig_10829",23,22
"contig_1083",0,0
"contig_10830",0,0
"contig_10831",32,0
"contig_10832",0,0
"contig_10833",0,0
"contig_10834",0,0
"contig_10835",0,0
"contig_10836",0,0
"contig_10837",0,0
"contig_10838",0,0
"contig_10839",29,29
"contig_1084",0,0
"contig_10840",0,0
"contig_10841",19,19
"contig_10842",0,0
"contig_10843",0,0
"contig_10844",0,0
"contig_10845",0,0
"contig_10846",0,0
"contig_10847",23,22
"contig_10848",31,32
"contig_10849",0,0
"contig_1085",0,0
"contig_10850",0,0
"contig_10851",24,23
"contig_10852",0,0
"contig_10853",20,20
"contig_10854",32,0
"contig_10855",0,0
"contig_10856",0,0
"contig_10857",19,19
"contig_10858",0,0
"contig_10859",0,0
"contig_1086",9,10
"contig_10860",0,0
"contig_10861",0,0
"contig_10862",0,0
"contig_10863",0,0
"contig_10864",0,0
"contig_10865",31,32
"contig_10866",0,0
"contig_10867",0,0
"contig_10868",0,0
"contig_10869",0,20
"contig_1087",9,10
